time, failed, passed, discarded
0.129446945,True,72,1364
0.243501469,True,159,2543
0.413176826,True,236,4139
1.493976552,True,920,15349
3.777509227,True,2677,38279
17.460263563,True,14905,170781
0.542519615,True,284,5373
0.128465004,True,82,1311
0.203218644,True,135,2012
4.234113138,True,2999,42898
0.150921745,True,103,1592
0.532729268,True,306,5152
0.431900706,True,233,4379
0.13603622,True,65,1399
1.1987716e-2,True,3,149
0.542036091,True,366,5523
0.146700149,True,95,1423
0.690811925,True,442,7094
0.852323378,True,546,8443
3.18126895,True,2152,31490
0.140398641,True,72,1374
2.499844166,True,1649,25206
0.1875242,True,113,1936
1.873069062,True,1197,19009
0.219538249,True,121,2324
3.112755862,True,2065,31423
1.608881709,True,1072,15977
1.230657188,True,778,12474
0.562135241,True,365,5385
0.457785576,True,264,4659
