time, failed, passed, discarded
67.603069571,True,13458,23085
127.360278108,True,30598,27058
61.998610303,True,14223,21583
58.287236408,True,12572,21314
75.482613848,True,14867,23620
101.09969101,True,24267,25247
73.275700044,True,16752,22683
70.369603089,True,14920,22570
19.765899211,True,8288,5146
7.807003197,True,3857,4252
124.037739277,True,31796,26744
85.71289491,True,20648,23164
87.820047346,True,19925,24478
62.70633335,True,12744,21939
96.748523682,True,25652,23787
65.502541931,True,14719,21964
68.879117003,True,14238,23020
73.401350148,True,16206,22617
90.784143019,True,20566,24645
65.5488515,True,13657,21895
117.957853836,True,31518,25525
141.677940155,True,39004,27146
92.156763477,True,25445,23399
70.289640194,True,16012,22563
61.732415902,True,12945,21654
57.864122361,True,11998,21418
71.621155792,True,17342,22117
11.237696678,True,4811,4089
60.147974207,True,12610,21525
64.159438363,True,13526,21904
