time, failed, passed, discarded
11.815031667,True,7141,10885
8.374927542,True,4322,13023
11.051705442,True,6097,13153
10.86149157,True,6197,10183
7.642305032,True,3729,12973
15.379029437,True,9580,11072
9.757989162,True,5251,13743
12.302558133,True,7173,13941
9.915115869,True,5765,10997
11.042645923,True,6702,10230
7.981117569,True,4000,12960
7.370086002,True,4004,10118
11.190949106,True,6336,10228
15.108200942,True,8881,11008
8.718839388,True,5094,10133
12.618250977,True,6739,18023
11.266370017,True,6763,11044
9.191507845,True,5166,10088
14.026037339,True,7737,18121
6.774623731,True,3604,9997
9.638831153,True,5147,13814
7.520156357,True,4173,10001
7.164841492,True,4500,6346
12.060665366,True,7330,10281
11.304214745,True,6942,10274
12.329334987,True,7117,13847
6.160846041,True,3490,7402
6.955337992,True,3691,9988
8.021002466,True,4756,7568
2.291040759,True,1154,3800
