time, failed, passed, discarded
2.017525531,True,1326,19907
0.595603093,True,419,6100
1.20601039,True,788,12345
1.491779835,True,954,14900
0.233931737,True,155,2234
2.79961088,True,1758,26751
0.89099008,True,605,8874
0.582954112,True,379,5837
1.093133603,True,670,10721
0.878598628,True,512,9017
3.029128147,True,1802,27539
2.782245542,True,1848,27682
2.241318084,True,1494,22356
0.295950196,True,168,3142
1.1757414,True,756,11789
0.789069352,True,443,7744
0.82166461,True,531,7993
1.315737693,True,788,12527
1.033706584,True,610,10071
5.046282914,True,3703,48789
2.903866115,True,1996,29073
1.086575912,True,701,10990
2.524068402,True,1626,25315
0.397938134,True,238,3969
1.958171791,True,1303,19509
1.353143499,True,805,13149
1.244233113,True,869,12242
0.645386086,True,392,6617
0.681439227,True,375,6916
2.151085885,True,1420,21725
