time, failed, passed, discarded
8.4420352e-2,True,58,910
1.359643439,True,917,13606
1.865655224,True,1284,18880
6.0016993e-2,True,25,680
3.622873952,True,2501,36864
1.410412372,True,931,14237
7.7292207e-2,True,39,909
3.56974e-2,True,10,349
2.972047424,True,1973,29531
0.314986184,True,200,3131
1.773624974,True,1138,17471
1.995310954,True,1327,20537
0.768756427,True,493,7658
9.253481e-2,True,54,941
0.82291381,True,522,8176
0.176257917,True,107,1843
0.597594677,True,390,6126
1.458989419,True,952,14867
0.423424442,True,221,4394
0.425317515,True,255,4289
1.935346554,True,1355,19075
1.21619906,True,839,12267
9.2559499e-2,True,46,1058
0.251131022,True,120,2601
1.788144894,True,1229,18208
1.703172903,True,1086,17239
0.328057548,True,195,3300
0.190777242,True,133,1872
3.7781633e-2,True,21,445
0.422046635,True,280,4374
