time, failed, passed, discarded
105.781634351,True,32515,19494
78.608009253,True,19128,20361
92.657390596,True,18442,22378
60.528437322,True,22962,12254
58.962666613,True,10534,19062
82.446708589,True,19922,20763
63.414350582,True,12394,19402
117.234740919,True,29244,23408
169.281028971,True,45177,26401
62.608819061,True,11636,19418
65.52567199,True,12702,19708
86.724173384,True,20547,20832
19.681480692,True,7814,7385
76.062282023,True,14725,21098
229.778769746,True,62673,28310
94.026489806,True,23613,21131
118.483798216,True,33518,22590
68.751413845,True,13759,19757
69.433888965,True,13255,19972
94.946355136,True,24990,21340
77.740273441,True,15813,20817
4.423472057,True,2837,1518
114.866076853,True,24388,24245
114.251330105,True,24440,24071
70.247551148,True,13711,20079
64.068482851,True,12289,19585
105.502532264,True,26158,22507
30.463790226,True,11989,8944
81.813465234,True,17439,20546
63.518093016,True,12030,19467
