time, failed, passed, discarded
4.686852884,True,2500,2741
4.170005848,True,2151,2533
4.881748047,True,2602,2713
4.341639061,True,2288,2583
3.99942007,True,2074,2547
3.918645369,True,1988,2512
3.897719143,True,1981,2520
4.000928164,True,1966,2574
3.900879469,True,1965,2503
4.848625321,True,2487,2752
3.123351933,True,1851,1836
4.009397988,True,2024,2528
4.379468215,True,2265,2581
4.127001153,True,2161,2536
3.759833106,True,1889,2507
4.426128684,True,2335,2626
4.005649966,True,2019,2565
7.742063589,True,4288,3059
4.107909107,True,2102,2591
4.035987162,True,2058,2533
7.908923637,True,4422,2924
4.550706739,True,2387,2699
6.714828598,True,3709,2907
3.698575234,True,1875,2512
3.81382692,True,1937,2503
3.979211492,True,2029,2533
4.521637572,True,2348,2557
19.366215002,True,11114,4136
6.927847498,True,3954,3005
6.407668873,True,3613,2879
