time, failed, passed, discarded
6.6901602e-2,True,11,199
7.1959763e-2,True,19,191
6.5046931e-2,True,10,200
7.3545961e-2,True,18,192
7.0518569e-2,True,16,194
6.620707e-2,True,9,201
7.0728244e-2,True,17,193
7.0014897e-2,True,16,194
7.0019262e-2,True,14,196
7.5201301e-2,True,21,189
7.6021508e-2,True,21,189
7.1924814e-2,True,16,194
7.3835413e-2,True,19,191
7.2999551e-2,True,13,197
6.1169484e-2,True,9,201
6.600446e-2,True,12,198
7.4429768e-2,True,18,192
7.9438821e-2,True,21,189
7.0530182e-2,True,13,197
7.9108568e-2,True,21,189
6.9533131e-2,True,10,200
7.0620434e-2,True,17,193
7.0208057e-2,True,16,194
6.6154922e-2,True,14,196
6.6972666e-2,True,12,198
7.1323404e-2,True,15,195
7.0688094e-2,True,16,194
6.4308414e-2,True,13,197
7.0549356e-2,True,15,195
6.9097112e-2,True,15,195
