time, failed, passed, discarded
24.863629982,True,22217,241260
30.44047061,True,27747,293843
22.016560217,True,19491,212576
36.387316994,True,32790,357274
2.702863736,True,1788,27311
2.080495775,True,1384,21051
46.58644336,True,47255,439054
9.767243799,True,7292,97457
11.646982693,True,9622,114795
0.77581528,True,500,7774
7.145890803,True,5439,71668
0.388324287,True,228,4017
3.938498217,True,2800,39900
4.303963032,True,3173,42789
19.689790646,True,16813,194386
4.44532255,True,3004,44874
6.035342874,True,4439,60845
4.928261465,True,3649,49479
4.434184285,True,3189,44716
31.911854623,True,28270,311359
30.576968444,True,27607,299512
27.847537199,True,24883,271458
21.600394666,True,20010,206966
3.181473462,True,2208,32214
13.592139508,True,11155,135235
12.891633584,True,10432,127338
65.859605734,True,67668,620102
12.519882608,True,10416,122893
17.755227388,True,15737,172127
25.559091703,True,22719,247291
