time, failed, passed, discarded
18.578219196,True,20142,162146
3.01473472,True,3530,24539
13.648320613,True,13552,119049
19.097527533,True,18138,169896
3.197896143,True,3815,27428
4.884148537,True,5657,41320
16.078154217,True,16391,140882
12.461414017,True,13837,103979
3.020127435,True,3491,25322
6.439508185,True,6944,56066
3.01802212,True,3488,25257
16.925217355,True,19164,144747
7.729678138,True,8360,64699
4.966259007,True,4823,42051
7.168038314,True,8117,61200
2.902542226,True,2419,24967
10.492036814,True,11678,90901
11.579753038,True,13081,98872
2.24696329,True,2438,20296
12.688805668,True,13141,109707
4.952758622,True,5625,40895
1.873566984,True,2324,15116
7.730912173,True,8479,66346
8.098477267,True,8819,68474
3.001728572,True,3774,25904
10.250509992,True,11178,87828
7.400574606,True,8145,62121
7.22909846,True,8910,60154
2.522782868,True,2358,21942
6.642428319,True,7083,56351
