time, failed, passed, discarded
76.436170647,True,36032,146401
18.809259289,True,8731,37572
47.499380508,True,23498,84262
8.921388755,True,4996,11085
21.631351287,True,11015,36061
16.778186135,True,8617,26490
138.706185173,True,67180,262410
88.723495031,True,41362,177239
54.203318342,True,27969,86252
56.022610323,True,27767,103234
46.385801235,True,22110,90618
40.932267206,True,20367,73156
57.974583804,True,28448,108043
26.374804253,True,13924,44117
48.539249109,True,23917,85844
90.559245663,True,42897,173442
32.960297927,True,17265,52795
49.582302857,True,24381,87371
18.708416412,True,9137,35126
13.443877825,True,6599,24896
13.411234828,True,6678,22478
45.886777078,True,22753,80934
21.199521385,True,11221,32306
42.196098054,True,20722,78870
49.802377823,True,25845,79179
48.492140816,True,24856,79241
45.367746225,True,22409,83266
11.145901167,True,6306,14803
137.527124719,True,65379,263548
53.252898508,True,25878,100829
