time, failed, passed, discarded
5.1991453e-2,True,22,584
0.250372202,True,155,2526
0.246854967,True,151,2555
0.107251029,True,69,1099
0.374332092,True,203,3693
0.171421691,True,116,1849
0.697077872,True,468,7110
0.418661705,True,213,4241
0.300539275,True,192,3160
0.263610177,True,166,2834
0.535289743,True,310,5364
0.267831364,True,172,2658
8.5724646e-2,True,51,914
4.8558735e-2,True,22,523
0.467775208,True,306,4675
5.8705239e-2,True,37,666
0.323749099,True,187,3200
0.151001411,True,94,1395
0.194232065,True,107,2046
7.9712398e-2,True,68,778
4.3344737e-2,True,23,468
0.158127196,True,94,1666
0.299726121,True,186,3113
0.212186542,True,137,2166
0.411891549,True,232,4213
0.305013895,True,186,3213
0.186581519,True,138,1874
6.4996395e-2,True,45,676
0.130266371,True,78,1430
5.753701e-2,True,39,534
