time, failed, passed, discarded
7.8148514e-2,True,75,968
1.15292393,True,1139,9545
0.325190817,True,385,3271
0.158753418,True,185,1627
8.691702e-3,True,1,87
5.000283e-3,True,1,69
0.102326609,True,115,789
4.8877333e-2,True,54,479
4.700148e-3,True,1,66
0.40392225,True,356,3812
0.32934591,True,286,3347
4.606248e-3,True,1,71
0.1841227,True,185,1767
0.38882975,True,397,3238
0.395254599,True,403,2984
0.217106023,True,169,2276
8.0897709e-2,True,49,933
1.9696707e-2,True,37,239
0.209062862,True,278,1797
0.814088392,True,839,7374
0.245589614,True,210,1996
0.272677139,True,182,2975
0.247277289,True,290,2063
0.372656062,True,414,3647
5.480049e-3,True,1,79
0.910069665,True,1016,8493
6.4430098e-2,True,26,837
0.28823505,True,277,2803
2.231554797,True,2335,19254
4.93797e-3,True,1,64
