time, failed, passed, discarded
10.733138194,True,5733,15117
8.82312732,True,4806,12138
12.272302138,True,6610,16215
8.823238479,True,4775,11948
9.564433151,True,5318,11222
8.429913324,True,4454,11473
9.698331769,True,5537,11605
6.175537062,True,2902,11043
10.180541623,True,5891,11844
11.253947732,True,6490,11064
10.273678975,True,6024,11818
11.375582915,True,6234,14983
12.534257147,True,7171,14963
1.988536525,True,906,3806
9.889017817,True,5361,13458
9.010169177,True,5555,8542
11.081579375,True,6407,10266
7.332174584,True,3701,11376
11.463677267,True,6634,12000
9.914825474,True,5589,11525
10.333633942,True,5473,14833
10.356636685,True,5138,17488
13.847593019,True,7651,15478
9.335945702,True,4983,12956
10.7265685,True,5968,13364
9.916304419,True,5143,14493
13.321016276,True,7656,14966
7.258506225,True,3668,11478
11.37554389,True,6298,14676
4.268265098,True,2473,4420
