time, failed, passed, discarded
1.524492442,True,1010,14779
1.864911447,True,1233,18527
1.113870744,True,738,11075
0.567624709,True,320,5678
3.042212864,True,2105,29862
6.9456439e-2,True,39,685
0.57281041,True,342,5518
2.151224095,True,1457,21920
2.302923955,True,1488,23338
2.195144582,True,1461,22133
5.46292543,True,3909,54298
0.345675934,True,194,3604
1.271589379,True,830,12662
4.865352944,True,3482,48331
1.412282868,True,921,14195
0.349160408,True,221,3527
5.240283476,True,3736,53452
0.309323488,True,188,3260
2.394230714,True,1507,24208
9.510456349,True,7133,95515
0.172818138,True,118,1695
0.92480639,True,541,9347
0.177467806,True,99,1729
0.246230858,True,152,2530
0.137983211,True,91,1330
3.347968655,True,2161,33729
18.099899074,True,15240,174843
0.857861027,True,505,8743
1.92507887,True,1306,19190
1.653214258,True,1046,16999
