time, failed, passed, discarded
15.178702927,True,7695,22790
15.487684396,True,7984,23283
16.290583173,True,9537,16771
16.66007844,True,8598,24071
10.529338539,True,5301,17545
11.40278841,True,5602,19078
19.980872061,True,10874,26033
13.160916968,True,7195,16116
12.303465151,True,6729,16302
14.540183899,True,8116,18567
12.961859423,True,6086,24092
13.633205409,True,6563,23435
9.303450872,True,4833,13277
10.987378026,True,5947,15112
14.314835293,True,7269,20662
12.899980782,True,7074,17224
13.357267376,True,6819,19776
10.097417074,True,5602,13757
17.021446049,True,8742,24640
14.381197732,True,7555,20032
17.010987602,True,8953,24475
10.933441262,True,5243,19366
18.463902891,True,9700,22797
15.405918537,True,8195,20705
12.565591045,True,6304,19435
12.862270211,True,6677,19034
20.967599539,True,10913,30463
15.694197971,True,7708,25353
15.073825398,True,7951,21570
14.279721958,True,7656,17523
